# --*-- shell --*--
#
# This file represents a map between shared libraries and packages
# in XBPS. Every shared library installed by a package must be
# listed here and mapped to a binary package.
#
# The third field controls the development package associated with
# the binary package that provides the shared library.
#
##########################################################################
# SONAME			BINPKG			BINPKG-DEVEL
##########################################################################
libxenguest.so.3		xen			xen-devel
libbabl-0.0.so			babl			babl-devel
libgegl-0.0.so			gegl			gegl-devel
libiculx.so.42			icu-libs		icu-devel
libicule.so.42			icu-libs		icu-devel
libicuio.so.42			icu-libs		icu-devel
libicui18n.so.42		icu-libs		icu-devel
libicudata.so.42		icu-libs		icu-devel
libicutu.so.42			icu-libs		icu-devel
libicuuc.so.42			icu-libs		icu-devel
libaspell.so.15			aspell			aspell-devel
libhunspell-1.2.so		hunspell		hunspell-devel
libenchant.so			enchant			enchant-devel
libgconf-2.so			GConf			GConf-devel
libsoup-2.4.so			libsoup			libsoup-devel
libsoup-gnome-2.4.so		libsoup-gnome		libsoup-gnome-devel
libunique-1.0.so		libunique		libunique-devel
libwebkit-1.0.so		webkit-gtk		webkit-gtk-devel
libgimp-2.0.so			gimp			gimp-devel
libgimpwidgets-2.0.so		gimp			gimp-devel
libgimpui-2.0.so		gimp			gimp-devel
libgimpbase-2.0.so		gimp			gimp-devel
libgimpthumb-2.0.so		gimp			gimp-devel
libgimpconfig-2.0.so		gimp			gimp-devel
libgimpmath-2.0.so		gimp			gimp-devel
libgimpcolor-2.0.so		gimp			gimp-devel
libgimpmodule-2.0.so		gimp			gimp-devel
libexiv2.so			exiv2			exiv2-devel
libsearchclient.so		strigi			strigi-devel
libstreamanalyzer.so		strigi			strigi-devel
libstrigihtmlgui.so		strigi			strigi-devel
libstreams.so			strigi			strigi-devel
libstrigiqtdbusclient.so	strigi			strigi-devel
libclucene.so			clucene			clucene-devel
libecpg_compat.so		postgresql-libs		postgresql-libs-devel
libecpg.so			postgresql-libs		postgresql-libs-devel
libpgtypes.so			postgresql-libs		postgresql-libs-devel
libpq.so			postgresql-libs		postgresql-libs-devel
libmysqlclient_r.so.16		libmysqlclient		libmysqlclient-devel
libmysqlclient.so.16		libmysqlclient		libmysqlclient-devel
libndbclient.so.16		libndbclient		libndbclient-devel
libasn1.so 			heimdal-libs		heimdal-devel
libgssapi.so 			heimdal-libs		heimdal-devel
libhdb.so 			heimdal-libs		heimdal-devel
libheimntlm.so 			heimdal-libs		heimdal-devel
libheimsqlite.so 		heimdal-libs		heimdal-devel
libhx509.so 			heimdal-libs		heimdal-devel
libkadm5clnt.so 		heimdal-libs		heimdal-devel
libkadm5srv.so 			heimdal-libs		heimdal-devel
libkafs.so 			heimdal-libs		heimdal-devel
libkdc.so 			heimdal-libs		heimdal-devel
libkrb5.so.25 			heimdal-libs		heimdal-devel
libotp.so 			heimdal-libs		heimdal-devel
libroken.so.18 			heimdal-libs		heimdal-devel
libsl.so 			heimdal-libs		heimdal-devel
libwind.so 			heimdal-libs		heimdal-devel
libgssapi_krb5.so		mit-krb5-libs		mit-krb5-devel
libgssrpc.so			mit-krb5-libs		mit-krb5-devel
libk5crypto.so			mit-krb5-libs		mit-krb5-devel
libkadm5clnt_mit.so		mit-krb5-libs		mit-krb5-devel
libkadm5clnt.so			mit-krb5-libs		mit-krb5-devel
libkadm5srv_mit.so		mit-krb5-libs		mit-krb5-devel
libkadm5srv.so			mit-krb5-libs		mit-krb5-devel
libkdb5.so			mit-krb5-libs		mit-krb5-devel
libkrb5.so			mit-krb5-libs		mit-krb5-devel
libkrb5support.so		mit-krb5-libs		mit-krb5-devel
libmenu-cache.so		menu-cache		menu-cache-devel
liblftp-jobs.so			lftp
liblftp-tasks.so		lftp
liblftp-network.so		lftp
liblftp-pty.so			lftp
libupower-glib.so		upower			upower-devel
libdevkit-power-gobject.so	upower			upower-devel
libpolkit-gtk-1.so		polkit-gnome		polkit-gnome-devel
libgnomekbd.so			libgnomekbd		libgnomekbd-devel
libgnomekbdui.so		libgnomekbd		libgnomekbd-devel
libcanberra.so			libcanberra		libcanberra-devel
libcanberra-gtk.so		libcanberra		libcanberra-devel
libgtop-2.0.so			libgtop			libgtop-devel
librarian.so			rarian			rarian-devel
libgnome-desktop-2.so.17	gnome-desktop		gnome-desktop-devel
libmetacity-private.so		metacity		metacity-devel
libbonobo-2.so.0		libbonobo		libbonobo-devel
libbonobo-activation.so		libbonobo		libbonobo-devel
libORBitCosNaming-2.so		ORBit2			ORBit2-devel
libORBit-imodule-2.so		ORBit2			ORBit2-devel
libORBit-2.so			ORBit2			ORBit2-devel
libgnomevfs-2.so		gnome-vfs		gnome-vfs-devel
libgnome-2.so			libgnome		libgnome-devel
libgnome-media-profiles.so	gnome-media		gnome-media-devel
libgnome-menu.so		gnome-menus		gnome-menus-devel
libart_lgpl_2.so		libart			libart-devel
libgnomecanvas-2.so		libgnomecanvas		libgnomecanvas-devel
libbonoboui-2.so		libbonoboui		libbonoboui-devel
libgp11.so			gnome-keyring		gnome-keyring-devel
libgcr.so			gnome-keyring		gnome-keyring-devel
libgnome-keyring.so		libgnome-keyring	libgnome-keyring-devel
libgweather.so			libgweather		libgweather-devel
libical.so			libical			libical-devel
libicalss.so			libical			libical-devel
libicalvcal.so			libical			libical-devel
libcamel-1.2.so.14		evolution-data-server	evolution-data-server-devel
libcamel-provider-1.2.so.14	evolution-data-server	evolution-data-server-devel
libebackend-1.2.so		evolution-data-server	evolution-data-server-devel
libebook-1.2.so			evolution-data-server	evolution-data-server-devel
libecal-1.2.so			evolution-data-server	evolution-data-server-devel
libedata-book-1.2.so		evolution-data-server	evolution-data-server-devel
libedata-cal-1.2.so		evolution-data-server	evolution-data-server-devel
libedataserver-1.2.so.11	evolution-data-server	evolution-data-server-devel
libedataserverui-1.2.so		evolution-data-server	evolution-data-server-devel
libegroupwise-1.2.so.13		evolution-data-server	evolution-data-server-devel
libgdata-1.2.so			evolution-data-server	evolution-data-server-devel
libgdata-google-1.2.so		evolution-data-server	evolution-data-server-devel
libpcap.so			libpcap			libpcap-devel
libiptc.so			iptables		iptables-devel
libip6tc.so			iptables		iptables-devel
libxtables.so			iptables		iptables-devel
libip4tc.so			iptables		iptables-devel
libipq.so			iptables		iptables-devel
libnm-util.so			NetworkManager		NetworkManager-devel
libnm-glib.so			NetworkManager		NetworkManager-devel
libnm-glib-vpn.so		NetworkManager		NetworkManager-devel
libpanel-applet-2.so		gnome-panel		gnome-panel-devel
libgnome-window-settings.so	gnome-control-center	gnome-control-center-devel
libboost_date_time.so.1.42	boost			boost-devel
libboost_math_tr1f.so.1.42	boost			boost-devel
libboost_serialization.so.1.42	boost			boost-devel
libboost_filesystem.so.1.42	boost			boost-devel
libboost_math_tr1l.so.1.42	boost			boost-devel
libboost_signals.so.1.42	boost			boost-devel
libboost_graph.so.1.42		boost			boost-devel
libboost_math_tr1.so.1.42	boost			boost-devel
libboost_system.so.1.42		boost			boost-devel
libboost_iostreams.so.1.42	boost			boost-devel
libboost_prg_exec_monitor.so.1.42	boost			boost-devel
libboost_thread.so.1.42		boost			boost-devel
libboost_math_c99f.so.1.42	boost			boost-devel
libboost_program_options.so.1.42	boost			boost-devel
libboost_unit_test_framework.so.1.42	boost			boost-devel
libboost_math_c99l.so.1.42	boost			boost-devel
libboost_python.so.1.42		boost-python		boost-devel
libboost_wave.so.1.42		boost			boost-devel
libboost_math_c99.so.1.42	boost			boost-devel
